
--------------NEW TEST-----------------

Q:PushPop
4613014.000000,4358732.500000,4542718.500000,4610919.000000,4609123.500000,:0.699157,0.190631,0.117871,0.076509,0.076012,;9951536.000000,9974863.000000,9942631.000000,9930684.000000,9787513.000000,:1.257663,1.262271,1.253346,1.262223,1.253346,;4739617.500000,5686681.000000,5212432.500000,4916227.500000,5343436.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6105304.500000,6349831.500000,5814900.000000,6352150.500000,6076294.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6169355.000000,6164240.000000,6050851.500000,6081800.000000,6023534.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5997307.000000,5997831.500000,5922346.000000,5968456.500000,5935123.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5889437.500000,5975375.500000,5792534.500000,5897200.000000,5823302.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5851529.000000,5965128.000000,6161790.000000,6231267.500000,6443361.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4074390.250000,3784135.000000,4141146.750000,3830970.000000,3975345.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4493624.500000,4362716.000000,4566762.500000,5086754.500000,4428139.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;

4594005.000000,4610015.500000,4611068.000000,4626170.500000,4505661.500000,:0.325792,0.350198,0.359371,0.369440,0.255536,;9511264.000000,9780095.000000,9793888.000000,9788711.000000,9787896.000000,:1.657355,1.178005,1.190606,1.198742,1.191861,;3541089.000000,3626479.750000,3724055.000000,3562319.250000,3664681.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6112563.000000,5968118.500000,6182820.000000,6245686.500000,6203762.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6515507.000000,6615178.500000,6699629.000000,6584102.000000,6619448.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6535499.000000,6445749.500000,6395681.500000,6368433.000000,6366535.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6209329.000000,6211103.000000,6179572.000000,6244009.500000,6059945.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5431034.000000,5522162.000000,6109594.000000,6071442.500000,5815255.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4265647.500000,4192766.750000,4143214.250000,4150057.750000,4260050.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5581089.000000,4765342.500000,5491428.000000,4834514.500000,5105205.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


Q:RandSingleOps
7826747.000000,8446517.000000,8447587.000000,8448586.000000,8468476.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8471346.000000,8345225.500000,8491415.000000,8509118.000000,8498343.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;14431889.000000,14472199.000000,14451501.000000,14462362.000000,14452538.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;7008592.500000,6999272.000000,6938806.500000,6982996.500000,6950767.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8514334.000000,8481980.000000,8494084.000000,8546553.000000,8503257.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8486515.000000,8458225.000000,8474074.000000,8471346.000000,8470700.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8107801.500000,8094413.000000,8153946.500000,8085447.000000,8190939.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;14148074.000000,13982494.000000,13946029.000000,13935923.000000,13941946.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6534453.000000,6557205.000000,6556689.000000,6557721.000000,6566203.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;14655665.000000,14248668.000000,14330959.000000,14293474.000000,14205151.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
5688589.500000,5439409.000000,5387931.000000,5410611.500000,5603214.000000,:7.111858,7.939887,8.112690,7.884408,7.118468,;7762920.500000,7731112.000000,7765633.000000,7769162.500000,7764095.500000,:3.005479,3.080778,3.089469,3.039027,3.036267,;4940760.500000,4959567.000000,4915309.000000,5196911.000000,5245667.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4814996.000000,4873733.500000,4891171.500000,4887561.500000,4745882.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5461526.500000,5455225.000000,5469786.500000,5405946.000000,5477501.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5352660.000000,5344749.500000,5384203.500000,5369358.000000,5387452.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5712914.500000,5702750.000000,5704815.500000,5604957.000000,5599966.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4074174.500000,4089369.000000,4073925.500000,4050870.750000,4076250.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3321293.750000,3371362.250000,3394680.750000,3407491.750000,3453986.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4830346.000000,4878882.000000,4847591.500000,4871976.500000,4820717.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6354411.000000,6382496.500000,6396755.500000,6385400.500000,6349932.000000,:8.204335,8.054474,8.049034,8.082526,8.098325,;7847245.500000,7836898.500000,7834841.500000,7839648.000000,7837420.500000,:3.442480,3.446177,3.438155,3.456312,3.451361,;7460390.000000,7228397.500000,7353711.500000,7861990.500000,7840324.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5766048.500000,5344635.500000,5274254.500000,5786267.000000,5798135.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6284269.000000,6198062.000000,6167100.500000,6168708.000000,6264987.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5798622.500000,5728180.500000,5028025.000000,5005299.500000,4903493.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6400010.000000,6363954.500000,6326281.000000,6281801.500000,6294979.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5136806.000000,5744939.000000,5116143.000000,5098984.000000,5113298.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2290599.250000,2230487.500000,2270891.250000,2255057.000000,2288506.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4466938.000000,4518615.000000,4667482.500000,4512248.500000,4566674.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
6985264.500000,7017291.500000,7012094.000000,7025759.000000,6989982.500000,:7.095977,6.893064,7.106622,7.097076,7.118762,;8078270.500000,8089347.000000,8112800.500000,8109354.500000,8120805.000000,:2.218087,2.148649,2.150144,2.159204,2.150000,;12751625.000000,12746079.000000,12398737.000000,12413744.000000,12657086.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5187579.500000,5224479.500000,5246442.000000,5166774.000000,5182888.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5101956.000000,5084133.000000,5084459.000000,5094993.000000,5091429.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4775176.000000,4766989.500000,4778464.500000,3160643.750000,3157581.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5076342.000000,5067778.500000,5089923.000000,5079478.000000,5067785.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4771427.500000,4758772.000000,4755863.500000,4692412.500000,4686724.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1853449.125000,1853200.625000,1849687.500000,1849186.375000,1854711.625000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2401773.500000,2378754.750000,2637232.500000,2367839.000000,2642331.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
