
--------------NEW TEST-----------------

Q:PushPop
4294426.000000,4223722.000000,4276062.500000,4963789.000000,4852155.000000,:0.000000,0.000000,0.148393,0.000000,0.000000,;9478224.000000,9535979.000000,9491718.000000,9571485.000000,9525715.000000,:2.441851,2.458905,2.524989,2.120497,2.297933,;3498779.000000,3529777.250000,3747465.750000,3551186.750000,3822074.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3017164.750000,2999517.000000,3011894.000000,3044103.000000,3019405.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2739621.000000,2605836.000000,2898534.000000,2536172.250000,2911165.750000,:0.000000,0.000099,0.000198,0.000198,0.000099,;2596303.500000,2557898.000000,2583518.750000,2573353.500000,2569406.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5506304.500000,10886013.000000,5633612.500000,5403536.000000,5650100.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;

4694306.500000,4675869.000000,4679720.000000,4667270.500000,4684082.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;9810751.000000,9833228.000000,9787992.000000,9818939.000000,9824148.000000,:1.123418,1.146343,1.142434,1.130439,1.134437,;4027824.250000,4793979.000000,4042936.000000,3965232.750000,4103473.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3405809.000000,3338173.750000,3409676.000000,3336525.250000,3366958.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2570766.750000,2931502.500000,2911369.250000,2879421.250000,2863376.750000,:0.000091,0.000182,0.000273,0.000182,0.000182,;3149586.500000,2612187.000000,2586699.750000,2580046.000000,2576310.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5758809.500000,5557778.500000,5408943.000000,5645698.500000,5898313.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


Q:RandSingleOps
8297929.000000,8316285.000000,8234926.000000,8241849.000000,8302751.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8321267.500000,8479319.000000,8494878.000000,8512232.000000,8505861.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;14432097.000000,14398433.000000,14418363.000000,14396775.000000,14422522.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;10956743.000000,10954102.000000,10975985.000000,10974780.000000,10944272.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6911710.000000,6905791.000000,6919840.500000,6934235.500000,6903598.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;7098441.000000,6986460.000000,7024840.000000,7093909.000000,7021979.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;8831270.000000,8827372.000000,8816787.000000,8576918.000000,8768238.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
5466930.500000,5443628.500000,5463167.500000,5471986.000000,5458455.500000,:7.853189,7.892181,7.793545,7.784537,7.853610,;7760902.000000,7754282.500000,7770370.000000,7779437.500000,7753981.500000,:3.096591,3.102634,3.091943,3.096034,3.065436,;3605305.500000,3589414.000000,3643996.250000,3628302.250000,3634989.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2982003.500000,2980395.000000,2993617.500000,2989089.750000,3016009.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3836488.750000,3829085.000000,3607972.250000,3822089.500000,3743649.750000,:3.148071,3.165807,3.481176,3.134138,3.179731,;2476326.250000,2475480.250000,2488546.500000,2470758.500000,2479992.750000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4775344.000000,4364696.500000,4733391.500000,4771971.500000,4361993.000000,:1.077569,1.986187,0.942226,1.008828,1.306179,;
6580289.500000,6623657.000000,6610944.000000,6590828.000000,6593638.500000,:8.863108,8.752376,8.738515,8.793766,8.795921,;8095942.500000,8099549.000000,8095199.500000,8095483.500000,8108787.500000,:2.270030,2.290715,2.283102,2.273330,2.268793,;8534972.000000,9056768.000000,9263262.000000,8366124.000000,7685036.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6554683.500000,6283538.500000,6365521.000000,6417043.500000,6638167.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3761623.500000,3729909.750000,3690377.250000,3722860.250000,3766175.750000,:3.765548,3.798981,3.806667,3.807282,3.747269,;5350960.500000,5334414.500000,5018896.000000,5312706.000000,5366006.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;2939447.500000,2877615.000000,2961056.250000,2961962.500000,2877112.750000,:30.546053,31.477770,30.186808,30.268482,30.629688,;
6512628.500000,6655515.000000,6575349.500000,6591740.500000,6595088.000000,:7.052892,7.022163,6.881114,6.844034,6.982302,;7574753.500000,7706505.500000,7743174.500000,7765171.000000,7781849.000000,:2.301062,2.289101,2.297393,2.296154,2.287926,;12482862.000000,11735184.000000,12965264.000000,12699649.000000,12572528.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;12420509.000000,12250898.000000,11900205.000000,12341540.000000,11310874.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3142025.750000,3103832.500000,3238204.000000,3196810.000000,3247245.250000,:3.796177,3.891068,3.731980,3.809558,3.701453,;10955462.000000,10865609.000000,10379922.000000,11132138.000000,10329618.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;1909563.125000,1946833.875000,1940275.125000,1921893.000000,1904646.375000,:57.290878,56.916183,56.847351,57.031929,57.343880,;
