
--------------NEW TEST-----------------

HM125K:F34,I33,E33
4478461.000000,4432349.000000,4420143.500000,4400517.500000,4406218.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3233358.000000,3264091.000000,3406516.750000,3414554.250000,3401742.250000,:0.000000,0.000000,0.000000,0.000000,0.000000,;3516681.500000,3527200.000000,3546728.250000,3508538.000000,3535043.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;6145979.500000,6127901.500000,6144091.000000,6152710.500000,6155475.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
5543243.000000,5336515.000000,5361581.500000,5384968.000000,5319432.000000,:0.000100,0.000150,0.000200,0.000200,0.000000,;4936918.500000,4980402.000000,5034397.500000,5012380.500000,5026085.500000,:0.000050,0.000050,0.000100,0.000050,0.000100,;5761945.000000,5838103.500000,5749654.500000,5813919.500000,5753293.000000,:0.000100,0.000000,0.000000,0.000100,0.000000,;9158180.000000,9163215.000000,9168592.000000,9169727.000000,9163635.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
8093221.500000,7997457.000000,8064459.000000,8083314.500000,8141465.500000,:0.000450,0.000400,0.000500,0.000500,0.000425,;8502281.000000,8678917.000000,8726327.000000,8653532.000000,8881251.000000,:0.000075,0.000125,0.000200,0.000125,0.000300,;10826612.000000,10703429.000000,10672159.000000,10615768.000000,10842168.000000,:0.000175,0.000125,0.000125,0.000125,0.000125,;17966142.000000,17988524.000000,17995322.000000,17991194.000000,17990546.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
12187659.000000,12222960.000000,12547544.000000,12359843.000000,12521636.000000,:0.000975,0.000787,0.000812,0.000875,0.000950,;15012199.000000,14957858.000000,15066657.000000,14944085.000000,14970118.000000,:0.000350,0.000375,0.000275,0.000387,0.000350,;19545518.000000,19375246.000000,19374218.000000,19058376.000000,18546128.000000,:0.000212,0.000187,0.000125,0.000287,0.000162,;35157416.000000,34394844.000000,34383168.000000,34393956.000000,34394104.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
15354112.000000,13955987.000000,14225876.000000,14260813.000000,14250399.000000,:0.001525,0.001650,0.001283,0.001367,0.001608,;17453916.000000,17388564.000000,17222604.000000,17257034.000000,17626258.000000,:0.000450,0.000517,0.000417,0.000425,0.000550,;22357322.000000,19511426.000000,21847790.000000,22250130.000000,21463150.000000,:0.000408,0.000517,0.000475,0.000417,0.000408,;42128176.000000,41091808.000000,41084636.000000,41076056.000000,41085480.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
17912528.000000,17618626.000000,17509910.000000,18261354.000000,17997172.000000,:0.001781,0.001869,0.001856,0.001762,0.002031,;20976860.000000,21342230.000000,21688142.000000,21514392.000000,21645226.000000,:0.000606,0.000656,0.000644,0.000750,0.000700,;28145454.000000,28495896.000000,28615216.000000,29098642.000000,27911790.000000,:0.000612,0.000650,0.000706,0.000494,0.000537,;54146432.000000,52441308.000000,52272036.000000,52438556.000000,52423092.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
20573500.000000,20783988.000000,21818178.000000,21708454.000000,21555546.000000,:0.002415,0.002290,0.002160,0.002110,0.002420,;24637732.000000,25343288.000000,25303038.000000,25171300.000000,25273912.000000,:0.000940,0.000885,0.000800,0.000795,0.000845,;33348196.000000,33615712.000000,33531204.000000,33714068.000000,33765432.000000,:0.000930,0.000895,0.000925,0.000880,0.000770,;65634240.000000,63178776.000000,62988356.000000,63063832.000000,63030640.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;


HM125K:F90,I5,E5
6666444.500000,6636492.500000,6641341.000000,6648803.500000,6642311.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;5006132.500000,4998125.500000,5009869.500000,4883146.500000,5009217.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;4691598.000000,4686870.000000,4690431.500000,4681429.000000,4692632.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;7351373.500000,7355266.500000,7364041.500000,7362089.500000,7363770.500000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
11224478.000000,11102666.000000,11212522.000000,11246823.000000,11220013.000000,:0.000000,0.000050,0.000000,0.000000,0.000050,;8125754.000000,8152351.000000,8191115.000000,8163898.500000,8186253.500000,:0.000050,0.000000,0.000000,0.000100,0.000100,;8374858.500000,8356383.000000,8345956.500000,8341849.000000,8319640.500000,:0.000000,0.000100,0.000000,0.000050,0.000000,;11852484.000000,11882623.000000,11886578.000000,11864437.000000,11884742.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
20687046.000000,20765440.000000,20822840.000000,20540966.000000,20810258.000000,:0.000150,0.000125,0.000125,0.000100,0.000050,;15628846.000000,15172377.000000,15186259.000000,15179805.000000,15185049.000000,:0.000100,0.000025,0.000075,0.000050,0.000050,;15857787.000000,16384382.000000,15915457.000000,16395257.000000,15574929.000000,:0.000075,0.000100,0.000050,0.000025,0.000075,;23111234.000000,23141988.000000,23034708.000000,23044794.000000,23061800.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
33794772.000000,35077852.000000,35068284.000000,33344000.000000,35138396.000000,:0.000425,0.000387,0.000275,0.000325,0.000362,;26776184.000000,28192144.000000,28811182.000000,28750916.000000,28828836.000000,:0.000175,0.000225,0.000250,0.000212,0.000262,;30960592.000000,30998620.000000,30725506.000000,31498300.000000,31353618.000000,:0.000137,0.000125,0.000175,0.000162,0.000100,;48262840.000000,44866940.000000,45178596.000000,48065656.000000,48068544.000000,:0.000000,0.000000,0.000000,0.000000,0.000000,;
